Site,Site Name,Energy Consumption (kWh),Date
CCC0501,Caliber 0501,1644.24,4/28/2020
CCC0501,Caliber 0501,1560.76,4/29/2020
CCC0501,Caliber 0501,1616.01,4/30/2020
CCC0501,Caliber 0501,1722.68,5/1/2020
CCC0501,Caliber 0501,907.16,5/2/2020
CCC0501,Caliber 0501,290.02,5/3/2020
CCC0501,Caliber 0501,2047.21,5/4/2020
CCC0501,Caliber 0501,1792.08,5/5/2020
CCC0501,Caliber 0501,1505.67,5/6/2020
CCC0501,Caliber 0501,1572.13,5/7/2020
CCC0501,Caliber 0501,1357.37,5/8/2020
CCC0501,Caliber 0501,818.1,5/9/2020
CCC0501,Caliber 0501,342.85,5/10/2020
CCC0501,Caliber 0501,1332.59,5/11/2020
CCC0501,Caliber 0501,1687.79,5/12/2020
CCC0501,Caliber 0501,1682.77,5/13/2020
CCC0501,Caliber 0501,1799.77,5/14/2020
CCC0501,Caliber 0501,1924.17,5/15/2020
CCC0501,Caliber 0501,535.16,5/16/2020
CCC0501,Caliber 0501,214.49,5/17/2020
CCC0501,Caliber 0501,1580.23,5/18/2020
CCC0501,Caliber 0501,2102.72,5/19/2020
CCC0501,Caliber 0501,2294.36,5/20/2020
CCC0501,Caliber 0501,2288.21,5/21/2020
CCC0501,Caliber 0501,2305.38,5/22/2020
CCC0501,Caliber 0501,1282.27,5/23/2020
CCC0501,Caliber 0501,1126.69,5/24/2020
CCC0501,Caliber 0501,1040.72,5/25/2020
CCC0501,Caliber 0501,1263.99,5/26/2020
CCC0501,Caliber 0501,1275.05,5/27/2020
CCC0501,Caliber 0501,1637.11,5/28/2020
CCC0501,Caliber 0501,1390.59,5/29/2020
CCC0501,Caliber 0501,905.33,5/30/2020
CCC0501,Caliber 0501,816.2,5/31/2020
CCC0501,Caliber 0501,1719.83,6/1/2020
CCC0501,Caliber 0501,2240.02,6/2/2020
CCC0501,Caliber 0501,2207.75,6/3/2020
CCC0501,Caliber 0501,2363.83,6/4/2020
CCC0501,Caliber 0501,2380.4,6/5/2020
CCC0501,Caliber 0501,1059.56,6/6/2020
CCC0501,Caliber 0501,717.15,6/7/2020
CCC0501,Caliber 0501,2244.44,6/8/2020
CCC0501,Caliber 0501,2368.57,6/9/2020
CCC0501,Caliber 0501,1852.24,6/10/2020
CCC0501,Caliber 0501,1716.33,6/11/2020
CCC0501,Caliber 0501,2049.36,6/12/2020
CCC0501,Caliber 0501,1388.41,6/13/2020
CCC0501,Caliber 0501,638.69,6/14/2020
CCC0501,Caliber 0501,2059.7,6/15/2020
CCC0501,Caliber 0501,2450.8,6/16/2020
CCC0501,Caliber 0501,2483.7,6/17/2020
CCC0501,Caliber 0501,2418.26,6/18/2020
CCC0501,Caliber 0501,2034.81,6/19/2020
CCC0501,Caliber 0501,1020.33,6/20/2020
CCC0501,Caliber 0501,654.84,6/21/2020
CCC0501,Caliber 0501,2129.87,6/22/2020
CCC0501,Caliber 0501,2021.47,6/23/2020
CCC0501,Caliber 0501,2189.93,6/24/2020
CCC0501,Caliber 0501,2104.97,6/25/2020
CCC0501,Caliber 0501,2052.1,6/26/2020
CCC0501,Caliber 0501,1123.42,6/27/2020
CCC0501,Caliber 0501,503.27,6/28/2020
CCC0501,Caliber 0501,2030.66,6/29/2020
CCC0501,Caliber 0501,2353.06,6/30/2020
CCC0501,Caliber 0501,2779.9,7/1/2020
CCC0501,Caliber 0501,2679.09,7/2/2020
CCC0501,Caliber 0501,1771.02,7/3/2020
CCC0501,Caliber 0501,1848.82,7/4/2020
CCC0501,Caliber 0501,1645.44,7/5/2020
CCC0501,Caliber 0501,2250.43,7/6/2020
CCC0501,Caliber 0501,2234.73,7/7/2020
CCC0501,Caliber 0501,2367.58,7/8/2020
CCC0501,Caliber 0501,2659.33,7/9/2020
CCC0501,Caliber 0501,2912.05,7/10/2020
CCC0501,Caliber 0501,2459.33,7/11/2020
CCC0501,Caliber 0501,2143.64,7/12/2020
CCC0501,Caliber 0501,2666.19,7/13/2020
CCC0501,Caliber 0501,2890.8,7/14/2020
CCC0501,Caliber 0501,2895.08,7/15/2020
CCC0501,Caliber 0501,3033.26,7/16/2020
CCC0501,Caliber 0501,2821.87,7/17/2020
CCC0501,Caliber 0501,2143.5,7/18/2020
CCC0501,Caliber 0501,1972.39,7/19/2020
CCC0501,Caliber 0501,2624.01,7/20/2020
CCC0501,Caliber 0501,2776.26,7/21/2020
CCC0501,Caliber 0501,2604.61,7/22/2020
CCC0501,Caliber 0501,2638.25,7/23/2020
CCC0501,Caliber 0501,2776.12,7/24/2020
CCC0501,Caliber 0501,1687.91,7/25/2020
CCC0501,Caliber 0501,1590.46,7/26/2020
CCC0501,Caliber 0501,2613.45,7/27/2020
CCC0501,Caliber 0501,2679.3,7/28/2020
CCC0501,Caliber 0501,2742.16,7/29/2020
CCC0501,Caliber 0501,2825.93,7/30/2020
CCC0501,Caliber 0501,2269.23,7/31/2020
CCC0501,Caliber 0501,937.74,8/1/2020
CCC0501,Caliber 0501,985.85,8/2/2020
CCC0501,Caliber 0501,2346.49,8/3/2020
CCC0501,Caliber 0501,2670.67,8/4/2020
CCC0501,Caliber 0501,2653.11,8/5/2020
CCC0501,Caliber 0501,2645.05,8/6/2020
CCC0501,Caliber 0501,2519.26,8/7/2020
CCC0501,Caliber 0501,1599.05,8/8/2020
CCC0501,Caliber 0501,875.18,8/9/2020
CCC0501,Caliber 0501,2495.3,8/10/2020
CCC0501,Caliber 0501,2678.45,8/11/2020
CCC0501,Caliber 0501,2733.95,8/12/2020
CCC0501,Caliber 0501,3078.64,8/13/2020
CCC0501,Caliber 0501,3139.9,8/14/2020
CCC0501,Caliber 0501,1849.74,8/15/2020
CCC0501,Caliber 0501,945.9,8/16/2020
CCC0501,Caliber 0501,2148.33,8/17/2020
CCC0501,Caliber 0501,2377.18,8/18/2020
CCC0501,Caliber 0501,2002.38,8/19/2020
CCC0501,Caliber 0501,2302.64,8/20/2020
CCC0501,Caliber 0501,2359.75,8/21/2020
CCC0501,Caliber 0501,983.51,8/22/2020
CCC0501,Caliber 0501,948.17,8/23/2020
CCC0501,Caliber 0501,2418.61,8/24/2020
CCC0501,Caliber 0501,2857.04,8/25/2020
CCC0501,Caliber 0501,2781.84,8/26/2020
CCC0501,Caliber 0501,2618.06,8/27/2020
