,PFL1,THDVL1,MDIL1,Date
2019-07-24 02:00:00,0.99,0.8,202.9,2019-07-24 02:00:00
2019-07-24 03:00:00,0.99,0.8,202.9,2019-07-24 03:00:00
2019-07-24 04:00:00,0.99,0.825,202.9,2019-07-24 04:00:00
2019-07-24 05:00:00,0.99,0.975,202.9,2019-07-24 05:00:00
2019-07-24 06:00:00,0.9875,1.05,202.9,2019-07-24 06:00:00
2019-07-24 07:00:00,0.99,1.1500000000000001,202.9,2019-07-24 07:00:00
2019-07-24 08:00:00,0.9874999999999999,1.325,202.9,2019-07-24 08:00:00
2019-07-24 09:00:00,0.99,1.4,202.9,2019-07-24 09:00:00
2019-07-24 10:00:00,0.9874999999999999,1.975,202.9,2019-07-24 10:00:00
2019-07-24 11:00:00,0.99,1.72,202.9,2019-07-24 11:00:00
2019-07-24 12:00:00,0.99,1.75,202.9,2019-07-24 12:00:00
2019-07-24 13:00:00,0.99,1.775,202.9,2019-07-24 13:00:00
2019-07-24 14:00:00,0.99,1.7600000000000002,202.9,2019-07-24 14:00:00
2019-07-24 15:00:00,0.99,1.95,202.9,2019-07-24 15:00:00
2019-07-24 16:00:00,0.99,1.6500000000000001,202.9,2019-07-24 16:00:00
2019-07-24 17:00:00,0.99,1.98,202.9,2019-07-24 17:00:00
2019-07-24 18:00:00,0.99,2.275,202.9,2019-07-24 18:00:00
2019-07-24 19:00:00,0.99,2.275,202.9,2019-07-24 19:00:00
2019-07-24 20:00:00,0.99,2.175,202.9,2019-07-24 20:00:00
2019-07-24 21:00:00,0.99,1.95,202.9,2019-07-24 21:00:00
2019-07-24 22:00:00,0.99,1.6749999999999998,202.9,2019-07-24 22:00:00
2019-07-24 23:00:00,0.9900000000000001,1.2142857142857142,202.90000000000003,2019-07-24 23:00:00
2019-07-25 00:00:00,0.99,1.025,202.9,2019-07-25 00:00:00
2019-07-25 01:00:00,0.99,0.875,202.9,2019-07-25 01:00:00
2019-07-25 02:00:00,0.99,0.85,202.9,2019-07-25 02:00:00
2019-07-25 03:00:00,0.99,0.7999999999999999,202.9,2019-07-25 03:00:00
2019-07-25 04:00:00,0.99,0.95,202.9,2019-07-25 04:00:00
2019-07-25 05:00:00,0.99,0.8500000000000001,202.9,2019-07-25 05:00:00
2019-07-25 06:00:00,0.99,1.75,202.9,2019-07-25 06:00:00
2019-07-25 07:00:00,0.9874999999999999,1.15,202.9,2019-07-25 07:00:00
2019-07-25 08:00:00,0.9824999999999999,1.375,202.9,2019-07-25 08:00:00
2019-07-25 09:00:00,0.9850000000000001,1.35,202.9,2019-07-25 09:00:00
2019-07-25 10:00:00,0.9875,1.5,202.9,2019-07-25 10:00:00
2019-07-25 11:00:00,0.99,1.9,202.9,2019-07-25 11:00:00
2019-07-25 12:00:00,0.99,1.9,202.9,2019-07-25 12:00:00
2019-07-25 13:00:00,0.99,1.9,202.9,2019-07-25 13:00:00
2019-07-25 14:00:00,0.99,1.9,202.9,2019-07-25 14:00:00
2019-07-25 15:00:00,0.99,1.9,202.9,2019-07-25 15:00:00
2019-07-25 16:00:00,0.99,1.9,202.9,2019-07-25 16:00:00
2019-07-25 17:00:00,0.99,1.9,202.9,2019-07-25 17:00:00
2019-07-25 18:00:00,0.99,1.9,202.9,2019-07-25 18:00:00
2019-07-25 19:00:00,0.99,1.9,202.9,2019-07-25 19:00:00
2019-07-25 20:00:00,0.99,1.9,202.9,2019-07-25 20:00:00
2019-07-25 21:00:00,0.99,1.9,202.9,2019-07-25 21:00:00
2019-07-25 22:00:00,0.99,1.9,202.9,2019-07-25 22:00:00
2019-07-25 23:00:00,0.99,1.9,202.9,2019-07-25 23:00:00
2019-07-26 00:00:00,0.99,1.9,202.9,2019-07-26 00:00:00
2019-07-26 01:00:00,0.99,1.9,202.9,2019-07-26 01:00:00
2019-07-26 02:00:00,0.99,1.9,202.9,2019-07-26 02:00:00
2019-07-26 03:00:00,0.99,1.9,202.9,2019-07-26 03:00:00
2019-07-26 04:00:00,0.99,1.9,202.9,2019-07-26 04:00:00
2019-07-26 05:00:00,0.99,1.9,202.9,2019-07-26 05:00:00
2019-07-26 06:00:00,0.99,1.9,202.9,2019-07-26 06:00:00
2019-07-26 07:00:00,0.99,1.9,202.9,2019-07-26 07:00:00
2019-07-26 08:00:00,0.99,1.9,202.9,2019-07-26 08:00:00
2019-07-26 09:00:00,0.99,1.9,202.9,2019-07-26 09:00:00
2019-07-26 10:00:00,0.99,1.9,202.9,2019-07-26 10:00:00
2019-07-26 11:00:00,0.99,1.9,202.9,2019-07-26 11:00:00
2019-07-26 12:00:00,0.99,1.9,202.9,2019-07-26 12:00:00
2019-07-26 13:00:00,0.99,1.9,202.9,2019-07-26 13:00:00
2019-07-26 14:00:00,0.99,1.9,202.9,2019-07-26 14:00:00
2019-07-26 15:00:00,0.99,1.9,202.9,2019-07-26 15:00:00
2019-07-26 16:00:00,0.99,1.9,202.9,2019-07-26 16:00:00
2019-07-26 17:00:00,0.99,1.9,202.9,2019-07-26 17:00:00
2019-07-26 18:00:00,0.99,1.9,202.9,2019-07-26 18:00:00
2019-07-26 19:00:00,0.99,1.9,202.9,2019-07-26 19:00:00
2019-07-26 20:00:00,0.99,1.9,202.9,2019-07-26 20:00:00
2019-07-26 21:00:00,0.99,1.9,202.9,2019-07-26 21:00:00
2019-07-26 22:00:00,0.99,1.9,202.9,2019-07-26 22:00:00
